date,vo2Max
2016-12-25,41-45
2016-12-26,42-46
2016-12-27,42-46
2016-12-28,42-46
2016-12-29,42-46
2016-12-30,42-46
2016-12-31,42-46
2017-01-01,42-46
2017-01-02,42-46
2017-01-03,43-47
2017-01-04,43-47
2017-01-05,43-47
2017-01-06,43-47
2017-01-07,43-47
2017-01-08,45
2017-01-09,45
2017-01-10,45
2017-01-11,45
2017-01-12,45
2017-01-13,45
2017-01-14,45
2017-01-15,45
2017-01-16,45
2017-01-17,45
2017-01-18,45
2017-01-19,45
2017-01-20,45
2017-01-21,45
2017-01-22,45
2017-01-23,45
2017-01-24,45
2017-01-25,45
2017-01-26,45
2017-01-27,45
2017-01-28,45
2017-01-29,45
2017-01-30,45
2017-01-31,45
2017-02-01,45
2017-02-02,45
2017-02-03,45
2017-02-04,45
2017-02-05,46
2017-02-06,46
2017-02-07,46
2017-02-08,46
2017-02-09,46
2017-02-10,46
2017-02-11,46
2017-02-12,46
2017-02-13,46
2017-02-14,46
2017-02-15,46
2017-02-16,46
2017-02-17,45
2017-02-18,45
2017-02-19,44
2017-02-20,44
2017-02-21,44
2017-02-22,44
2017-02-23,44
2017-02-24,44
2017-02-25,44
2017-02-26,44
2017-02-27,44
2017-02-28,44
2017-03-01,44
2017-03-02,44
2017-03-03,44
2017-03-04,44
2017-03-05,44
2017-03-06,44
2017-03-07,44
2017-03-08,44
2017-03-09,44
2017-03-10,44
2017-03-11,44
2017-03-12,44
2017-03-13,44
2017-03-14,44
2017-03-15,44
2017-03-16,44
2017-03-17,44
2017-03-18,44
2017-03-19,44
2017-03-20,44
2017-03-21,44
2017-03-22,44
2017-03-23,44
2017-03-24,44
2017-03-25,44
2017-03-26,44
2017-03-27,44
2017-03-28,44
2017-03-29,44
2017-03-30,44
2017-03-31,44
2017-04-01,44
2017-04-02,44
2017-04-03,44
2017-04-04,44
2017-04-05,44
2017-04-06,44
2017-04-07,44
2017-04-08,44
2017-04-09,44
2017-04-10,44
2017-04-11,44
2017-04-12,44
2017-04-13,44
2017-04-14,44
2017-04-15,44
2017-04-16,44
2017-04-17,44
2017-04-18,44
2017-04-19,44
2017-04-20,44
2017-04-21,44
2017-04-22,44
2017-04-23,44
2017-04-24,44
2017-04-25,44
2017-04-26,44
2017-04-27,44
2017-04-28,44
2017-04-29,44
2017-04-30,44
2017-05-01,44
2017-05-02,44
2017-05-03,44
2017-05-04,44
2017-05-05,44
2017-05-06,44
2017-05-07,44
2017-05-08,44
2017-05-09,44
2017-05-10,44
2017-05-11,44
2017-05-12,44
2017-05-13,44
2017-05-14,44
2017-05-15,44
2017-05-16,44
2017-05-17,44
2017-05-18,44
2017-05-19,40-44
2017-05-20,40-44
2017-05-21,40-44
2017-05-22,40-44
2017-05-23,40-44
2017-05-24,40-44
2017-05-25,40-44
2017-05-26,41-45
2017-05-27,41-45
2017-05-28,41-45
2017-05-29,41-45
2017-05-30,45
2017-05-31,45
2017-06-01,45
2017-06-02,45
2017-06-03,45
2017-06-04,45
2017-06-05,45
2017-06-06,45
2017-06-07,45
2017-06-08,45
2017-06-09,45
2017-06-10,45
2017-06-11,45
2017-06-12,45
2017-06-13,45
2017-06-14,45
2017-06-15,45
2017-06-16,45
2017-06-17,45
2017-06-18,45
2017-06-19,45
2017-06-20,45
2017-06-21,45
2017-06-22,45
2017-06-23,45
2017-06-24,45
2017-06-25,45
2017-06-26,45
2017-06-27,45
2017-06-28,45
2017-06-29,45
2017-06-30,45
2017-07-01,45
2017-07-02,45
2017-07-03,45
2017-07-04,45
2017-07-05,45
2017-07-06,45
2017-07-07,45
2017-07-08,45
2017-07-09,45
2017-07-10,45
2017-07-11,45
2017-07-12,45
2017-07-13,45
2017-07-14,45
2017-07-15,45
2017-07-16,45
2017-07-17,45
2017-07-18,45
2017-07-19,45
2017-07-20,45
2017-07-21,45
2017-07-22,45
2017-07-23,45
2017-07-24,45
2017-07-25,45
2017-07-26,45
2017-07-27,45
2017-07-28,45
2017-07-29,45
2017-07-30,45
2017-07-31,45
2017-08-01,45
2017-08-02,45
2017-08-03,45
2017-08-04,45
2017-08-05,45
2017-08-06,45
2017-08-07,45
2017-08-08,45
2017-08-09,45
2017-08-10,45
2017-08-11,45
2017-08-12,45
2017-08-13,45
2017-08-14,45
2017-08-15,45
2017-08-16,45
2017-08-17,45
2017-08-18,45
2017-08-19,45
2017-08-20,45
2017-08-21,45
2017-08-22,45
2017-08-23,45
2017-08-24,45
2017-08-25,45
2017-08-26,45
2017-08-27,45
2017-08-28,45
2017-08-29,45
2017-08-30,40-44
2017-08-31,41-45
2017-09-01,41-45
2017-09-02,41-45
2017-09-03,41-45
2017-09-04,41-45
2017-09-05,41-45
2017-09-06,41-45
2017-09-07,41-45
2017-09-08,41-45
2017-09-09,41-45
2017-09-10,41-45
2017-09-11,41-45
2017-09-12,41-45
2017-09-13,41-45
2017-09-14,41-45
2017-09-15,41-45
2017-09-16,41-45
2017-09-17,41-45
2017-09-18,41-45
2017-09-19,41-45
2017-09-20,41-45
2017-09-21,41-45
2017-09-22,41-45
2017-09-23,41-45
2017-09-24,41-45
2017-09-25,41-45
2017-09-26,41-45
2017-09-27,41-45
2017-09-28,41-45
2017-09-29,41-45
2017-09-30,41-45
2017-10-01,41-45
2017-10-02,41-45
2017-10-03,41-45
2017-10-04,41-45
2017-10-05,41-45
2017-10-06,41-45
2017-10-07,41-45
2017-10-08,41-45
2017-10-09,41-45
2017-10-10,41-45
2017-10-11,41-45
2017-10-12,41-45
2017-10-13,41-45
2017-10-14,40-44
2017-10-15,40-44
2017-10-16,40-44
2017-10-17,40-44
2017-10-18,40-44
2017-10-19,40-44
2017-10-20,40-44
2017-10-21,40-44
2017-10-22,40-44
2017-10-23,40-44
2017-10-24,40-44
2017-10-25,40-44
2017-10-26,40-44
2017-10-27,40-44
2017-10-28,41-45
2017-10-29,41-45
2017-10-30,41-45
2017-10-31,41-45
2017-11-01,41-45
2017-11-02,41-45
2017-11-03,40-44
2017-11-04,40-44
2017-11-05,40-44
2017-11-06,40-44
2017-11-07,40-44
2017-11-08,40-44
2017-11-09,40-44
2017-11-10,39-43
2017-11-11,39-43
2017-11-12,39-43
2017-11-13,39-43
2017-11-14,39-43
2017-11-15,39-43
2017-11-16,38-42
2017-11-17,38-42
2017-11-18,38-42
2017-11-19,38-42
2017-11-20,38-42
2017-11-21,38-42
2017-11-22,38-42
2017-11-23,38-42
2017-11-24,38-42
2017-11-25,38-42
2017-11-26,38-42
2017-11-27,39-43
2017-11-28,39-43
2017-11-29,38-42
2017-11-30,38-42
2017-12-01,38-42
2017-12-02,38-42
2017-12-03,38-42
2017-12-04,38-42
2017-12-05,38-42
2017-12-06,38-42
2017-12-07,38-42
2017-12-08,38-42
2017-12-09,38-42
2017-12-10,38-42
2017-12-11,38-42
2017-12-12,38-42
2017-12-13,38-42
2017-12-14,37-41
2017-12-15,37-41
2017-12-16,37-41
2017-12-17,37-41
2017-12-18,37-41
2017-12-19,37-41
2017-12-20,37-41
2017-12-21,37-41
2017-12-22,38-42
2017-12-23,38-42
2017-12-24,38-42
2017-12-25,38-42
2017-12-26,38-42
2017-12-27,38-42
2017-12-28,39-43
2017-12-29,39-43
2017-12-30,39-43
2017-12-31,39-43
2018-01-01,39-43
2018-01-02,39-43
2018-01-03,39-43
2018-01-04,39-43
2018-01-05,40-44
2018-01-06,40-44
2018-01-07,40-44
2018-01-08,40-44
2018-01-09,40-44
2018-01-10,40-44
2018-01-11,39-43
2018-01-12,39-43
2018-01-13,39-43
2018-01-14,39-43
2018-01-15,39-43
2018-01-16,39-43
2018-01-17,39-43
2018-01-18,39-43
2018-01-19,39-43
2018-01-20,39-43
2018-01-21,39-43
2018-01-22,39-43
2018-01-23,39-43
2018-01-24,39-43
2018-01-25,39-43
2018-01-26,39-43
2018-01-27,39-43
2018-01-28,40-44
2018-01-29,40-44
2018-01-30,40-44
2018-01-31,40-44
2018-02-01,40-44
2018-02-02,40-44
2018-02-03,40-44
2018-02-04,40-44
2018-02-05,40-44
2018-02-06,40-44
2018-02-07,40-44
2018-02-08,40-44
2018-02-09,40-44
2018-02-10,40-44
2018-02-11,40-44
2018-02-12,40-44
2018-02-13,40-44
2018-02-14,40-44
2018-02-15,40-44
2018-02-16,40-44
2018-02-17,40-44
2018-02-18,40-44
2018-02-19,40-44
2018-02-20,40-44
2018-02-21,40-44
2018-02-22,40-44
2018-02-23,40-44
2018-02-24,40-44
2018-02-25,40-44
2018-02-26,41-45
2018-02-27,41-45
2018-02-28,41-45
2018-03-01,41-45
2018-03-02,41-45
2018-03-03,41-45
2018-03-04,41-45
2018-03-05,41-45
2018-03-06,41-45
2018-03-07,41-45
2018-03-08,41-45
2018-03-09,40-44
2018-03-10,40-44
2018-03-11,40-44
2018-03-12,40-44
2018-03-13,40-44
2018-03-14,40-44
2018-03-15,40-44
2018-03-16,40-44
2018-03-17,40-44
2018-03-18,40-44
2018-03-19,40-44
2018-03-20,40-44
2018-03-21,41-45
2018-03-22,41-45
2018-03-23,41-45
2018-03-24,41-45
2018-03-25,41-45
2018-03-26,41-45
2018-03-27,41-45
2018-03-28,42-46
2018-03-29,42-46
2018-03-30,42-46
2018-03-31,42-46
2018-04-01,42-46
2018-04-02,42-46
2018-04-03,42-46
2018-04-04,42-46
2018-04-05,42-46
2018-04-06,42-46
2018-04-07,42-46
2018-04-08,42-46
2018-04-09,42-46
2018-04-10,42-46
2018-04-11,42-46
2018-04-12,42-46
2018-04-13,42-46
2018-04-14,42-46
2018-04-15,41-45
2018-04-16,41-45
2018-04-17,41-45
2018-04-18,41-45
2018-04-19,41-45
2018-04-20,41-45
2018-04-21,41-45
2018-04-22,41-45
2018-04-23,41-45
2018-04-24,42-46
2018-04-25,42-46
2018-04-26,42-46
2018-04-27,42-46
2018-04-28,42-46
2018-04-29,42-46
2018-04-30,42-46
2018-05-01,42-46
2018-05-02,42-46
2018-05-03,42-46
2018-05-04,42-46
2018-05-05,42-46
2018-05-06,42-46
2018-05-07,42-46
2018-05-08,42-46
2018-05-09,42-46
2018-05-10,42-46
2018-05-11,42-46
2018-05-12,42-46
2018-05-13,41-45
2018-05-14,41-45
2018-05-15,41-45
2018-05-16,41-45
2018-05-17,41-45
2018-05-18,41-45
2018-05-19,41-45
2018-05-20,41-45
2018-05-21,41-45
2018-05-22,41-45
2018-05-23,41-45
2018-05-24,41-45
2018-05-25,42-46
2018-05-26,42-46
2018-05-27,42-46
2018-05-28,42-46
2018-05-29,42-46
2018-05-30,43-47
2018-05-31,43-47
2018-06-01,43-47
2018-06-02,43-47
2018-06-03,43-47
2018-06-04,43-47
2018-06-05,43-47
2018-06-06,43-47
2018-06-07,43-47
2018-06-08,43-47
2018-06-09,41
2018-06-10,41
2018-06-11,41
2018-06-12,41
2018-06-13,41
2018-06-14,41
2018-06-15,41
2018-06-16,41
2018-06-17,41
2018-06-18,42
2018-06-19,42
2018-06-20,42
2018-06-21,42
2018-06-22,42
2018-06-23,42
2018-06-24,42
2018-06-25,42
2018-06-26,42
2018-06-27,42
2018-06-28,42
2018-06-29,42
2018-06-30,42
2018-07-01,42
2018-07-02,42
2018-07-03,42
2018-07-04,42
2018-07-05,42
2018-07-06,42
2018-07-07,42
2018-07-08,42
2018-07-09,42
2018-07-10,42
2018-07-11,42
2018-07-12,42
2018-07-13,42
2018-07-14,42
2018-07-15,42
2018-07-16,42
2018-07-17,42
2018-07-18,42
2018-07-19,42
2018-07-20,42
2018-07-21,42
2018-07-22,42
2018-07-23,42
2018-07-24,42
2018-07-25,42
2018-07-26,42
2018-07-27,42
2018-07-28,42
2018-07-29,42
2018-07-30,42
2018-07-31,42
2018-08-01,42
2018-08-02,42
2018-08-03,42
2018-08-04,42
2018-08-05,42
2018-08-06,42
2018-08-07,42
2018-08-08,42
2018-08-09,42
2018-08-10,42
2018-08-11,42
2018-08-12,42
2018-08-13,42
2018-08-14,42
2018-08-15,42
2018-08-16,42
2018-08-17,42
2018-08-18,42
2018-08-19,42
2018-08-20,42
2018-08-21,42
2018-08-22,42
2018-08-23,42
2018-08-24,42
2018-08-25,42
2018-08-26,42
2018-08-27,42
2018-08-28,42
2018-08-29,42
2018-08-30,42
2018-08-31,42
2018-09-01,42
2018-09-02,42
2018-09-03,42
2018-09-04,42
2018-09-05,42
2018-09-06,42
2018-09-07,42
2018-09-08,42
2018-09-09,42
2018-09-10,42
2018-09-11,42
2018-09-12,42
2018-09-13,42
2018-09-14,42
2018-09-15,42
2018-09-16,42
2018-09-17,42
2018-09-18,41-45
2018-09-19,41-45
2018-09-20,41-45
2018-09-21,42-46
2018-09-22,41-45
2018-09-23,41-45
2018-09-24,41-45
2018-09-25,41-45
2018-09-26,41-45
2018-09-27,41-45
2018-09-28,41-45
2018-09-29,41-45
2018-09-30,41-45
2018-10-01,41-45
2018-10-02,40-44
2018-10-03,40-44
2018-10-04,40-44
2018-10-05,40-44
2018-10-06,40-44
2018-10-07,39-43
2018-10-08,39-43
2018-10-09,39-43
2018-10-10,39-43
2018-10-11,40-44
2018-10-12,40-44
2018-10-13,40-44
2018-10-14,40-44
2018-10-15,40-44
2018-10-16,40-44
2018-10-17,40-44
2018-10-18,40-44
2018-10-19,40-44
2018-10-20,40-44
2018-10-21,41-45
2018-10-22,41-45
2018-10-23,41-45
2018-10-24,41-45
2018-10-25,41-45
2018-10-26,41-45
2018-10-27,41-45
2018-10-28,40-44
2018-10-29,40-44
2018-10-30,40-44
2018-10-31,40-44
2018-11-01,40-44
2018-11-02,40-44
2018-11-03,39-43
2018-11-04,39-43
2018-11-05,39-43
2018-11-06,39-43
2018-11-07,38-42
2018-11-08,38-42
2018-11-09,38-42
2018-11-10,38-42
2018-11-11,38-42
2018-11-12,39-43
2018-11-13,39-43
2018-11-14,39-43
2018-11-15,39-43
2018-11-16,39-43
2018-11-17,39-43
2018-11-18,39-43
2018-11-19,39-43
2018-11-20,39-43
2018-11-21,39-43
2018-11-22,39-43
2018-11-23,39-43
2018-11-24,39-43
2018-11-25,39-43
2018-11-26,39-43
2018-11-27,39-43
2018-11-28,38-42
2018-11-29,38-42
2018-11-30,38-42
2018-12-01,38-42
2018-12-02,38-42
2018-12-03,38-42
2018-12-04,38-42
2018-12-05,38-42
2018-12-06,38-42
2018-12-07,38-42
2018-12-08,38-42
2018-12-09,38-42
2018-12-10,38-42
2018-12-11,38-42
2018-12-12,38-42
2018-12-13,39-43
2018-12-14,39-43
2018-12-15,39-43
2018-12-16,39-43
2018-12-17,39-43
2018-12-18,39-43
2018-12-19,39-43
2018-12-20,39-43
2018-12-21,39-43
2018-12-22,39-43
2018-12-23,39-43
2018-12-24,39-43
2018-12-25,39-43
2018-12-26,39-43
2018-12-27,39-43
2018-12-28,39-43
2018-12-29,39-43
2018-12-30,39-43
2018-12-31,38-42
2019-01-01,38-42
2019-01-02,38-42
2019-01-03,38-42
2019-01-04,39-43
2019-01-05,39-43
2019-01-06,39-43
2019-01-07,39-43
2019-01-08,39-43
2019-01-09,39-43
2019-01-10,39-43
2019-01-11,39-43
2019-01-12,39-43
2019-01-13,39-43
2019-01-14,39-43
2019-01-15,39-43
2019-01-16,39-43
2019-01-17,39-43
2019-01-18,39-43
2019-01-19,39-43
2019-01-20,39-43
2019-01-21,39-43
2019-01-22,39-43
2019-01-23,39-43
2019-01-24,39-43
2019-01-25,39-43
2019-01-26,39-43
2019-01-27,39-43
2019-01-28,39-43
2019-01-29,39-43
2019-01-30,39-43
2019-01-31,39-43
2019-02-01,39-43
2019-02-02,39-43
2019-02-03,39-43
2019-02-04,39-43
2019-02-05,39-43
2019-02-06,39-43
2019-02-07,38-42
2019-02-08,38-42
2019-02-09,38-42
2019-02-10,38-42
2019-02-11,38-42
2019-02-12,37-41
2019-02-13,38-42
2019-02-14,37-41
2019-02-15,38-42
2019-02-16,38-42
2019-02-17,38-42
2019-02-18,38-42
2019-02-19,38-42
2019-02-20,38-42
2019-02-21,38-42
2019-02-22,38-42
2019-02-23,38-42
2019-02-24,38-42
2019-02-25,38-42
2019-02-26,38-42
2019-02-27,38-42
2019-02-28,38-42
2019-03-01,38-42
2019-03-02,38-42
2019-03-03,38-42
2019-03-04,38-42
2019-03-05,38-42
2019-03-06,38-42
2019-03-07,38-42
2019-03-08,38-42
2019-03-09,38-42
2019-03-10,38-42
2019-03-11,38-42
2019-03-12,38-42
2019-03-13,38-42
2019-03-14,38-42
2019-03-15,38-42
2019-03-16,38-42
2019-03-17,38-42
2019-03-18,38-42
2019-03-19,38-42
2019-03-20,39-43
2019-03-21,39-43
2019-03-22,39-43
2019-03-23,39-43
2019-03-24,39-43
2019-03-25,39-43
2019-03-26,39-43
2019-03-27,39-43
2019-03-28,39-43
2019-03-29,39-43
2019-03-30,39-43
2019-03-31,39-43
2019-04-01,39-43
2019-04-02,39-43
2019-04-03,39-43
2019-04-04,39-43
2019-04-05,39-43
2019-04-06,39-43
2019-04-07,39-43
2019-04-08,39-43
2019-04-09,39-43
2019-04-10,39-43
2019-04-11,39-43
2019-04-12,39-43
2019-04-13,39-43
2019-04-14,39-43
2019-04-15,39-43
2019-04-16,39-43
2019-04-17,39-43
2019-04-18,39-43
2019-04-19,39-43
2019-04-20,37
2019-04-21,37
2019-04-22,37
2019-04-23,37
2019-04-24,37
2019-04-25,37
2019-04-26,37
2019-04-27,37
2019-04-28,37
2019-04-29,37
2019-04-30,37
2019-05-01,37
2019-05-02,37
2019-05-03,37
2019-05-04,37
2019-05-05,37
2019-05-06,37
2019-05-07,37
2019-05-08,37
2019-05-09,37
2019-05-10,37
2019-05-11,37
2019-05-12,37
2019-05-13,37
2019-05-14,37
2019-05-15,37
2019-05-16,37
2019-05-17,37
2019-05-18,37
2019-05-19,37
2019-05-20,37
2019-05-21,37
2019-05-22,37
2019-05-23,37
2019-05-24,37
2019-05-25,37
2019-05-26,37
2019-05-27,37
2019-05-28,37
2019-05-29,37
2019-05-30,37
2019-05-31,37
2019-06-01,37
2019-06-02,37
2019-06-03,37
2019-06-04,37
2019-06-05,37
2019-06-06,37
2019-06-07,37
2019-06-08,37
2019-06-09,37
2019-06-10,37
2019-06-11,37
2019-06-12,37
2019-06-13,37
2019-06-14,37
2019-06-15,37
2019-06-16,37
2019-06-17,37
2019-06-18,37
2019-06-19,37
2019-06-20,37
2019-06-21,37
2019-06-22,37
2019-06-23,37
2019-06-24,37
2019-06-25,37
2019-06-26,37
2019-06-27,37
2019-06-28,37
2019-06-29,37
2019-06-30,37
2019-07-01,37
2019-07-02,37
2019-07-03,37
2019-07-04,37
2019-07-05,37
2019-07-06,37
2019-07-07,37
2019-07-08,37
2019-07-09,37
2019-07-10,37
2019-07-11,37
2019-07-12,37
2019-07-13,37
2019-07-14,37
2019-07-15,37
2019-07-16,37
2019-07-17,37
2019-07-18,37
2019-07-19,37
2019-07-20,42-46
2019-07-21,42-46
2019-07-22,42-46
2019-07-23,42-46
2019-07-24,42-46
2019-07-25,42-46
2019-07-26,42-46
2019-07-27,42-46
2019-07-28,42-46
2019-07-29,43-47
2019-07-30,43-47
2019-07-31,43-47
2019-08-01,43-47
2019-08-02,43-47
2019-08-03,43-47
2019-08-04,43-47
2019-08-05,44-48
2019-08-06,44-48
2019-08-07,44-48
2019-08-08,44-48
2019-08-09,44-48
2019-08-10,44-48
2019-08-11,44-48
2019-08-12,44-48
2019-08-13,44-48
2019-08-14,44-48
2019-08-15,44-48
2019-08-16,44-48
2019-08-17,44-48
2019-08-18,44-48
2019-08-19,44-48
2019-08-20,43-47
2019-08-21,43-47
2019-08-22,42-46
2019-08-23,42-46
2019-08-24,42-46
2019-08-25,42-46
2019-08-26,42-46
2019-08-27,42-46
2019-08-28,42-46
2019-08-29,42-46
2019-08-30,42-46
2019-08-31,42-46
2019-09-01,42-46
2019-09-02,42-46
2019-09-03,42-46
2019-09-04,42-46
2019-09-05,43-47
2019-09-06,43-47
2019-09-07,43-47
2019-09-08,43-47
2019-09-09,43-47
2019-09-10,43-47
2019-09-11,43-47
2019-09-12,43-47
2019-09-13,43-47
2019-09-14,43-47
2019-09-15,43-47
2019-09-16,43-47
2019-09-17,42-46
2019-09-18,42-46
2019-09-19,42-46
2019-09-20,42-46
2019-09-21,42-46
2019-09-22,42-46
2019-09-23,42-46
2019-09-24,42-46
2019-09-25,42-46
2019-09-26,42-46
2019-09-27,42-46
2019-09-28,42-46
2019-09-29,42-46
2019-09-30,42-46
2019-10-01,42-46
2019-10-02,42-46
2019-10-03,42-46
2019-10-04,42-46
2019-10-05,42-46
2019-10-06,42-46
2019-10-07,42-46
2019-10-08,42-46
2019-10-09,42-46
2019-10-10,42-46
2019-10-11,41-45
2019-10-12,41-45
2019-10-13,41-45
2019-10-14,41-45
2019-10-15,41-45
2019-10-16,41-45
2019-10-17,41-45
2019-10-18,41-45
2019-10-19,41-45
2019-10-20,41-45
2019-10-21,41-45
2019-10-22,42-46
2019-10-23,42-46
2019-10-24,42-46
2019-10-25,42-46
2019-10-26,42-46
2019-10-27,42-46
2019-10-28,42-46
2019-10-29,41-45
2019-10-30,41-45
2019-10-31,41-45
2019-11-01,41-45
2019-11-02,41-45
2019-11-03,41-45
2019-11-04,41-45
2019-11-05,41-45
2019-11-06,41-45
2019-11-07,41-45
2019-11-08,41-45
2019-11-09,40-44
2019-11-10,41-45
2019-11-11,41-45
2019-11-12,41-45
2019-11-13,41-45
2019-11-14,41-45
2019-11-15,41-45
2019-11-16,41-45
2019-11-17,41-45
2019-11-18,41-45
2019-11-19,41-45
2019-11-20,42-46
2019-11-21,42-46
2019-11-22,41-45
2019-11-23,41-45
2019-11-24,41-45
2019-11-25,41-45
2019-11-26,41-45
2019-11-27,41-45
2019-11-28,41-45
2019-11-29,41-45
2019-11-30,41-45
2019-12-01,41-45
2019-12-02,40-44
2019-12-03,40-44
2019-12-04,40-44
2019-12-05,40-44
2019-12-06,40-44
2019-12-07,40-44
2019-12-08,40-44
2019-12-09,40-44
2019-12-10,40-44
2019-12-11,40-44
2019-12-12,40-44
2019-12-13,40-44
2019-12-14,40-44
2019-12-15,40-44
2019-12-16,40-44
2019-12-17,41-45
2019-12-18,41-45
2019-12-19,41-45
2019-12-20,41-45
2019-12-21,41-45
2019-12-22,41-45
2019-12-23,41-45
2019-12-24,41-45
2019-12-25,41-45
2019-12-26,41-45
2019-12-27,41-45
2019-12-28,41-45
2019-12-29,41-45
2019-12-30,41-45
2019-12-31,41-45
2020-01-01,41-45
2020-01-02,41-45
2020-01-03,40-44
2020-01-04,40-44
2020-01-05,40-44
2020-01-06,40-44
2020-01-07,40-44
2020-01-08,40-44
2020-01-09,40-44
2020-01-10,40-44
2020-01-11,41-45
2020-01-12,41-45
2020-01-13,41-45
2020-01-14,41-45
2020-01-15,41-45
2020-01-16,41-45
2020-01-17,41-45
2020-01-18,41-45
2020-01-19,41-45
2020-01-20,41-45
2020-01-21,41-45
2020-01-22,41-45
2020-01-23,41-45
2020-01-24,41-45
2020-01-25,42-46
2020-01-26,42-46
2020-01-27,42-46
2020-01-28,42-46
2020-01-29,42-46
2020-01-30,42-46
2020-01-31,42-46
2020-02-01,42-46
2020-02-02,42-46
2020-02-03,43-47
2020-02-04,43-47
2020-02-05,43-47
2020-02-06,43-47
2020-02-07,42-46
2020-02-08,42-46
2020-02-09,42-46
2020-02-10,42-46
2020-02-11,42-46
2020-02-12,42-46
2020-02-13,42-46
2020-02-14,42-46
2020-02-15,42-46
2020-02-16,42-46
2020-02-17,42-46
2020-02-18,42-46
2020-02-19,42-46
2020-02-20,42-46
2020-02-21,42-46
2020-02-22,42-46
2020-02-23,42-46
2020-02-24,42-46
2020-02-25,42-46
